id,name,parent,type,is_deleted,created_at,updated_at,active,source_id
1830606,Borokhata Bazar,1830442,7,FALSE,now(),now(),TRUE,98545
1830607,Tangjara,1830442,7,FALSE,now(),now(),TRUE,98522
1830608,Tista Bazar,1830442,7,FALSE,now(),now(),TRUE,98386
1830609,Borokhata Station,1830442,7,FALSE,now(),now(),TRUE,98547
1830610,Borokhata Bazar,1830442,7,FALSE,now(),now(),TRUE,98546
1830611,Niz Shek Sundor,1830442,7,FALSE,now(),now(),TRUE,98518
1830612,Jonotarbazar,1830442,7,FALSE,now(),now(),TRUE,98516
1830613,Borokhata Bazar,1830442,7,FALSE,now(),now(),TRUE,98544
1830614,Niz Shek Sundor,1830442,7,FALSE,now(),now(),TRUE,133045
1830615,Jonotarbazar,1830442,7,FALSE,now(),now(),TRUE,147414
1830616,Tista Bazar,1830442,7,FALSE,now(),now(),TRUE,98523
1830617,Hatibandha Dighirhat,1830443,7,FALSE,now(),now(),TRUE,133049
1830618,Hatibandha Rail Station,1830443,7,FALSE,now(),now(),TRUE,133051
1830619,Hatibandha Upazila Chattar,1830443,7,FALSE,now(),now(),TRUE,147419
1830620,Hatibandha Upazila Chattar,1830443,7,FALSE,now(),now(),TRUE,133052
1830621,Hatibandha Khaner Bazar,1830443,7,FALSE,now(),now(),TRUE,133050
1830622,Hatibandha Rail Station,1830443,7,FALSE,now(),now(),TRUE,98440
1830623,Hatibandha Dighirhat,1830443,7,FALSE,now(),now(),TRUE,147420
1830624,Hatibandha Rail Station,1830443,7,FALSE,now(),now(),TRUE,98441
1830625,Hatibandha Khaner Bazar,1830443,7,FALSE,now(),now(),TRUE,147422
1830626,Mazar,1830443,7,FALSE,now(),now(),TRUE,98554
1830627,Hatibandha Upazila Chattar,1830443,7,FALSE,now(),now(),TRUE,147421
1830628,Milon Bazar,1830444,7,FALSE,now(),now(),TRUE,98555
1830629,Barakhata Goruhat,1830444,7,FALSE,now(),now(),TRUE,133053
1830630,Barakhata Bus Stand,1830444,7,FALSE,now(),now(),TRUE,147425
1830631,Barakhata BDR Bazar,1830444,7,FALSE,now(),now(),TRUE,147424
1830632,Barakhata Rail Station,1830444,7,FALSE,now(),now(),TRUE,133055
1830633,Barakhata Doani More,1830444,7,FALSE,now(),now(),TRUE,133054
1830634,Barakhata Goruhat,1830444,7,FALSE,now(),now(),TRUE,147427
1830635,Barakhata Rail Station,1830444,7,FALSE,now(),now(),TRUE,147423
1830636,Barakhata Bus Stand,1830444,7,FALSE,now(),now(),TRUE,147426
1830637,Milon Bazar,1830444,7,FALSE,now(),now(),TRUE,27415
1830638,Saniajan Bazar,1830445,7,FALSE,now(),now(),TRUE,133046
1830639,Sadur Bazar,1830445,7,FALSE,now(),now(),TRUE,98568
1830640,Adorsho Gram,1830445,7,FALSE,now(),now(),TRUE,130500
1830641,Saniajan Bazar,1830445,7,FALSE,now(),now(),TRUE,147415
1830642,Adorsho Gram,1830445,7,FALSE,now(),now(),TRUE,133048
1830643,Dowany Check Post,1830445,7,FALSE,now(),now(),TRUE,98563
1830644,Mokaddes Nagore,1830445,7,FALSE,now(),now(),TRUE,133047
1830645,Dowany Check Post,1830445,7,FALSE,now(),now(),TRUE,147416
1830646,Saniajan Bazar,1830445,7,FALSE,now(),now(),TRUE,147418
1830647,Simultola,1830445,7,FALSE,now(),now(),TRUE,77816
1830648,Dowany Check Post,1830445,7,FALSE,now(),now(),TRUE,147417
1830649,Burimari Zero Point,1830446,7,FALSE,now(),now(),TRUE,147441
1830650,Burimari Zero Point,1830446,7,FALSE,now(),now(),TRUE,97867
1830651,Burimari Dr Counter,1830446,7,FALSE,now(),now(),TRUE,97864
1830652,Burimari Bazar Main Road,1830446,7,FALSE,now(),now(),TRUE,97862
1830653,Burimari Shakkhor Plaza,1830446,7,FALSE,now(),now(),TRUE,97865
1830654,Burimari Zero Point. Burir Hotel More,1830446,7,FALSE,now(),now(),TRUE,97866
1830655,Tower Office,1830446,7,FALSE,now(),now(),TRUE,97875
1830656,Baura Vitor Bazar,1830447,7,FALSE,now(),now(),TRUE,97923
1830657,Baura Bazar College Road,1830447,7,FALSE,now(),now(),TRUE,147407
1830658,Baura Bazar,1830447,7,FALSE,now(),now(),TRUE,98472
1830659,Baura Bazar Post Office,1830447,7,FALSE,now(),now(),TRUE,147409
1830660,Baura Bazar,1830447,7,FALSE,now(),now(),TRUE,98471
1830661,Baura Bus Stand,1830447,7,FALSE,now(),now(),TRUE,98494
1830662,Baura Bazar,1830447,7,FALSE,now(),now(),TRUE,147411
1830663,Baura Bus Stand,1830447,7,FALSE,now(),now(),TRUE,147410
1830664,Baura Bazar S Road,1830447,7,FALSE,now(),now(),TRUE,147408
1830665,Baura Bus Stand,1830447,7,FALSE,now(),now(),TRUE,147413
1830666,Baura Bazar Post Office,1830447,7,FALSE,now(),now(),TRUE,147412
1830667,Patgram Bridge Matha,1830448,7,FALSE,now(),now(),TRUE,97997
1830668,Patgram Tetul Tola,1830448,7,FALSE,now(),now(),TRUE,97873
1830669,Patgram Shaheb Danga,1830448,7,FALSE,now(),now(),TRUE,97872
1830670,Patgram Chipa Goli,1830448,7,FALSE,now(),now(),TRUE,97891
1830671,Patgram Purbo Chourongi,1830448,7,FALSE,now(),now(),TRUE,97871
1830672,Patgram Thana More,1830448,7,FALSE,now(),now(),TRUE,97894
1830673,Patgram Purbo Chourongi,1830448,7,FALSE,now(),now(),TRUE,133056
1830674,Master Para,1830448,7,FALSE,now(),now(),TRUE,74549
1830675,Patgram Tn S,1830448,7,FALSE,now(),now(),TRUE,97895
1830676,Patgram Upazila More,1830448,7,FALSE,now(),now(),TRUE,97908
1830677,Patgram Post Office,1830448,7,FALSE,now(),now(),TRUE,97893
1830678,Patgram Thana More,1830448,7,FALSE,now(),now(),TRUE,133057
1830679,Patgram Bridge Matha,1830448,7,FALSE,now(),now(),TRUE,147428
1830680,Master para,1830448,7,FALSE,now(),now(),TRUE,118048
1830681,Patgram Bypass More,1830449,7,FALSE,now(),now(),TRUE,97979
1830682,Patgram Bypass More,1830449,7,FALSE,now(),now(),TRUE,97980
1830683,College More,1830449,7,FALSE,now(),now(),TRUE,121909
1830684,Kot Toli,1830449,7,FALSE,now(),now(),TRUE,147440
1830685,Chilar Bazar,1830449,7,FALSE,now(),now(),TRUE,147439
1830686,New Bus Stand,1830449,7,FALSE,now(),now(),TRUE,133067
1830687,Kot Toli,1830449,7,FALSE,now(),now(),TRUE,97991
1830688,Patgram Shareo Bazar,1830449,7,FALSE,now(),now(),TRUE,98017
1830689,Chilar Bazar,1830449,7,FALSE,now(),now(),TRUE,147438
1830690,College More,1830449,7,FALSE,now(),now(),TRUE,67102
1830691,Mesirpar,1830449,7,FALSE,now(),now(),TRUE,97994
1830692,Burimari Petrol Pamp,1830450,7,FALSE,now(),now(),TRUE,97883
1830693,Burimari Ghunti Bazar,1830450,7,FALSE,now(),now(),TRUE,97881
1830694,Burimari Vitor Bazar,1830450,7,FALSE,now(),now(),TRUE,97885
1830695,Burimari Track Stand,1830450,7,FALSE,now(),now(),TRUE,97884
1830696,Burimari Vitor Bazar,1830450,7,FALSE,now(),now(),TRUE,133068
1830697,Burimari Petrol Pamp,1830450,7,FALSE,now(),now(),TRUE,133069
1830698,Burimari Ghater Par,1830450,7,FALSE,now(),now(),TRUE,97880
1830699,Burimari Track Stand,1830450,7,FALSE,now(),now(),TRUE,147442
1830700,Burimari Janota Bank,1830450,7,FALSE,now(),now(),TRUE,97882
1830701,Baura Kabarsthan,1830451,7,FALSE,now(),now(),TRUE,147399
1830702,Sharkarer Hat,1830451,7,FALSE,now(),now(),TRUE,97936
1830703,Jonatarhat,1830451,7,FALSE,now(),now(),TRUE,98528
1830704,Baura Kabarsthan,1830451,7,FALSE,now(),now(),TRUE,147398
1830705,Sharkarer Hat Kafir Bazar,1830451,7,FALSE,now(),now(),TRUE,98535
1830706,Sharkarer Hat,1830451,7,FALSE,now(),now(),TRUE,133044
1830707,Sharkarer Hat,1830451,7,FALSE,now(),now(),TRUE,147400
1830708,Alauddin Nagar,1830451,7,FALSE,now(),now(),TRUE,147401
1830709,Jonatarhat,1830451,7,FALSE,now(),now(),TRUE,147404
1830710,Sharkarer Hat Kafir Bazar,1830451,7,FALSE,now(),now(),TRUE,147405
1830711,Rail Get Sofirhat,1830451,7,FALSE,now(),now(),TRUE,133043
1830712,Alauddin Nagar,1830451,7,FALSE,now(),now(),TRUE,147403
1830713,Baura Kabarsthan,1830451,7,FALSE,now(),now(),TRUE,147402
1830714,Jonatarhat,1830451,7,FALSE,now(),now(),TRUE,147406
1830715,Patgram Station Road,1830452,7,FALSE,now(),now(),TRUE,97907
1830716,Patgram Rail Gate,1830452,7,FALSE,now(),now(),TRUE,97906
1830717,Patgram Rail Station,1830452,7,FALSE,now(),now(),TRUE,97982
1830718,Patgram Vitor Bazar,1830452,7,FALSE,now(),now(),TRUE,147431
1830719,Patgram Vitor Bazar,1830452,7,FALSE,now(),now(),TRUE,97910
1830720,Patgram Paschim Rail Gate,1830452,7,FALSE,now(),now(),TRUE,97981
1830721,Patgram Rail Station,1830452,7,FALSE,now(),now(),TRUE,133058
1830722,Patgram Station Road,1830452,7,FALSE,now(),now(),TRUE,147430
1830723,Patgram Puraton Bus Stand More,1830452,7,FALSE,now(),now(),TRUE,147429
1830724,Patgram Chourongi More,1830452,7,FALSE,now(),now(),TRUE,97904
1830725,Patgram Mosjid,1830452,7,FALSE,now(),now(),TRUE,97905
1830726,Patgram Puraton Bus Stand More,1830452,7,FALSE,now(),now(),TRUE,147432
1830727,Patgram Chourongi More,1830452,7,FALSE,now(),now(),TRUE,147433
1830728,Banger Bari,1830453,7,FALSE,now(),now(),TRUE,97939
1830729,Lolitar Hat,1830453,7,FALSE,now(),now(),TRUE,97945
1830730,Pan Bari,1830453,7,FALSE,now(),now(),TRUE,97946
