id,name,parent,type,is_deleted,created_at,updated_at,active,source_id
1830442,505A,2256,6,FALSE,now(),now(),TRUE,18030
1830443,506A,2256,6,FALSE,now(),now(),TRUE,18036
1830444,506B,2256,6,FALSE,now(),now(),TRUE,18072
1830445,505B,2256,6,FALSE,now(),now(),TRUE,18107
1830446,605A,2257,6,FALSE,now(),now(),TRUE,18024
1830447,606B,2257,6,FALSE,now(),now(),TRUE,18029
1830448,601A,2257,6,FALSE,now(),now(),TRUE,18031
1830449,604B,2257,6,FALSE,now(),now(),TRUE,18035
1830450,605B,2257,6,FALSE,now(),now(),TRUE,18037
1830451,606A,2257,6,FALSE,now(),now(),TRUE,18051
1830452,601B,2257,6,FALSE,now(),now(),TRUE,18054
1830453,603B,2257,6,FALSE,now(),now(),TRUE,18079
1830454,603A,2257,6,FALSE,now(),now(),TRUE,18102
1830455,602A,2257,6,FALSE,now(),now(),TRUE,18155
1830456,602B,2257,6,FALSE,now(),now(),TRUE,18156
1830457,604A,2257,6,FALSE,now(),now(),TRUE,18157
1830458,811A,2248,6,FALSE,now(),now(),TRUE,18059
1830459,810B,2248,6,FALSE,now(),now(),TRUE,18066
1830460,811B,2248,6,FALSE,now(),now(),TRUE,18095
1830461,812A,2248,6,FALSE,now(),now(),TRUE,18104
1830462,808A,2248,6,FALSE,now(),now(),TRUE,18105
1830463,809A,2248,6,FALSE,now(),now(),TRUE,18112
1830464,809B,2248,6,FALSE,now(),now(),TRUE,18113
1830465,812B,2248,6,FALSE,now(),now(),TRUE,18173
1830466,808B,2248,6,FALSE,now(),now(),TRUE,18174
1830467,810A,2248,6,FALSE,now(),now(),TRUE,18176
1830468,303B,2240,6,FALSE,now(),now(),TRUE,18015
1830469,304A,2240,6,FALSE,now(),now(),TRUE,18016
1830470,305A,2240,6,FALSE,now(),now(),TRUE,18017
1830471,304B,2240,6,FALSE,now(),now(),TRUE,18021
1830472,306B,2240,6,FALSE,now(),now(),TRUE,18023
1830473,303A,2240,6,FALSE,now(),now(),TRUE,18048
1830474,305B,2240,6,FALSE,now(),now(),TRUE,18049
1830475,302B,2240,6,FALSE,now(),now(),TRUE,18052
1830476,306A,2240,6,FALSE,now(),now(),TRUE,18062
1830477,302A,2240,6,FALSE,now(),now(),TRUE,18094
1830478,301B,2240,6,FALSE,now(),now(),TRUE,18097
1830479,301A,2240,6,FALSE,now(),now(),TRUE,18127
1830480,503A,2238,6,FALSE,now(),now(),TRUE,18019
1830481,506B,2238,6,FALSE,now(),now(),TRUE,18020
1830482,507B,2238,6,FALSE,now(),now(),TRUE,18039
1830483,502A,2238,6,FALSE,now(),now(),TRUE,18040
1830484,503B,2238,6,FALSE,now(),now(),TRUE,18042
1830485,506A,2238,6,FALSE,now(),now(),TRUE,18080
1830486,505B,2238,6,FALSE,now(),now(),TRUE,18087
1830487,508B,2238,6,FALSE,now(),now(),TRUE,18093
1830488,509A,2238,6,FALSE,now(),now(),TRUE,18110
1830489,509B,2238,6,FALSE,now(),now(),TRUE,18111
1830490,504A,2238,6,FALSE,now(),now(),TRUE,18122
1830491,501B,2238,6,FALSE,now(),now(),TRUE,18133
1830492,507A,2238,6,FALSE,now(),now(),TRUE,18145
1830493,505A,2238,6,FALSE,now(),now(),TRUE,18147
1830494,501A,2238,6,FALSE,now(),now(),TRUE,18161
1830495,502B,2238,6,FALSE,now(),now(),TRUE,18162
1830496,508A,2238,6,FALSE,now(),now(),TRUE,18163
1830497,504B,2238,6,FALSE,now(),now(),TRUE,18178
1830498,602B,2237,6,FALSE,now(),now(),TRUE,18025
1830499,602A,2237,6,FALSE,now(),now(),TRUE,18084
1830500,601A,2237,6,FALSE,now(),now(),TRUE,18114
1830501,601B,2237,6,FALSE,now(),now(),TRUE,18124
1830502,604A,2237,6,FALSE,now(),now(),TRUE,18131
1830503,603B,2237,6,FALSE,now(),now(),TRUE,18134
1830504,606D,2237,6,FALSE,now(),now(),TRUE,18137
1830505,605A,2237,6,FALSE,now(),now(),TRUE,18140
1830506,605B,2237,6,FALSE,now(),now(),TRUE,18153
1830507,603A,2237,6,FALSE,now(),now(),TRUE,18154
